spend_id,date,channel,campaign_id,spend_amount
SPEND-000105,2025-01-15,Display,CMP-0007,311.67
SPEND-000106,2025-01-16,Paid Search,CMP-0001,211.59
SPEND-000107,2025-01-16,Paid Search,CMP-0002,564.12
SPEND-000108,2025-01-16,Paid Social,CMP-0003,28.35
SPEND-000109,2025-01-16,Paid Social,CMP-0004,378.89
SPEND-000110,2025-01-16,Email,CMP-0005,113.11
SPEND-000111,2025-01-16,Affiliate,CMP-0006,321.74
SPEND-000112,2025-01-16,Display,CMP-0007,506.9
SPEND-000113,2025-01-17,Paid Search,CMP-0001,209.98
SPEND-000114,2025-01-17,Paid Search,CMP-0002,179.48
SPEND-000115,2025-01-17,Paid Social,CMP-0003,17.66
SPEND-000116,2025-01-17,Paid Social,CMP-0004,489.25
SPEND-000117,2025-01-17,Email,CMP-0005,104.2
SPEND-000118,2025-01-17,Affiliate,CMP-0006,299.48
SPEND-000119,2025-01-17,Display,CMP-0007,407.1
SPEND-000120,2025-01-18,Paid Search,CMP-0001,165.93
SPEND-000121,2025-01-18,Paid Search,CMP-0002,414.97
SPEND-000122,2025-01-18,Paid Social,CMP-0003,112.95
SPEND-000123,2025-01-18,Paid Social,CMP-0004,141.43
SPEND-000124,2025-01-18,Email,CMP-0005,77.62
SPEND-000125,2025-01-18,Affiliate,CMP-0006,176.98
SPEND-000126,2025-01-18,Display,CMP-0007,268.71
SPEND-000127,2025-01-19,Paid Search,CMP-0001,266.01
SPEND-000128,2025-01-19,Paid Search,CMP-0002,96.68
SPEND-000129,2025-01-19,Paid Social,CMP-0003,89.28
SPEND-000130,2025-01-19,Paid Social,CMP-0004,243.95
SPEND-000131,2025-01-19,Email,CMP-0005,68.13
SPEND-000132,2025-01-19,Affiliate,CMP-0006,255.5
SPEND-000133,2025-01-19,Display,CMP-0007,247.65
SPEND-000134,2025-01-20,Paid Search,CMP-0001,253.36
SPEND-000135,2025-01-20,Paid Search,CMP-0002,220.06
SPEND-000136,2025-01-20,Paid Social,CMP-0003,239.59
SPEND-000137,2025-01-20,Paid Social,CMP-0004,51.65
SPEND-000138,2025-01-20,Email,CMP-0005,101.11
SPEND-000139,2025-01-20,Affiliate,CMP-0006,206.83
SPEND-000140,2025-01-20,Display,CMP-0007,460.49
SPEND-000141,2025-01-21,Paid Search,CMP-0001,8.43
SPEND-000142,2025-01-21,Paid Search,CMP-0002,368.71
SPEND-000143,2025-01-21,Paid Social,CMP-0003,87.74
SPEND-000144,2025-01-21,Paid Social,CMP-0004,337.19
SPEND-000145,2025-01-21,Email,CMP-0005,121.12
SPEND-000146,2025-01-21,Affiliate,CMP-0006,292.35
SPEND-000147,2025-01-21,Display,CMP-0007,369.87
SPEND-000148,2025-01-22,Paid Search,CMP-0001,298.75
SPEND-000149,2025-01-22,Paid Search,CMP-0002,272.17
SPEND-000150,2025-01-22,Paid Social,CMP-0003,194.83
SPEND-000151,2025-01-22,Paid Social,CMP-0004,149.9
SPEND-000152,2025-01-22,Email,CMP-0005,138.22
SPEND-000153,2025-01-22,Affiliate,CMP-0006,218.19
SPEND-000154,2025-01-22,Display,CMP-0007,349.45
SPEND-000155,2025-01-23,Paid Search,CMP-0001,549.22
SPEND-000156,2025-01-23,Paid Search,CMP-0002,152.49
SPEND-000157,2025-01-23,Paid Social,CMP-0003,239.53
SPEND-000158,2025-01-23,Paid Social,CMP-0004,336.29
SPEND-000159,2025-01-23,Email,CMP-0005,63.95
SPEND-000160,2025-01-23,Affiliate,CMP-0006,276.65
SPEND-000161,2025-01-23,Display,CMP-0007,320.27
SPEND-000162,2025-01-24,Paid Search,CMP-0001,202.12
SPEND-000163,2025-01-24,Paid Search,CMP-0002,322.39
SPEND-000164,2025-01-24,Paid Social,CMP-0003,182.22
SPEND-000165,2025-01-24,Paid Social,CMP-0004,289.56
SPEND-000166,2025-01-24,Email,CMP-0005,98.09
SPEND-000167,2025-01-24,Affiliate,CMP-0006,121.37
SPEND-000168,2025-01-24,Display,CMP-0007,387.36
SPEND-000169,2025-01-25,Paid Search,CMP-0001,462.04
SPEND-000170,2025-01-25,Paid Search,CMP-0002,63.95
SPEND-000171,2025-01-25,Paid Social,CMP-0003,63.44
SPEND-000172,2025-01-25,Paid Social,CMP-0004,265.57
SPEND-000173,2025-01-25,Email,CMP-0005,94.46
SPEND-000174,2025-01-25,Affiliate,CMP-0006,259.0
SPEND-000175,2025-01-25,Display,CMP-0007,276.36
SPEND-000176,2025-01-26,Paid Search,CMP-0001,231.27
SPEND-000177,2025-01-26,Paid Search,CMP-0002,371.43
SPEND-000178,2025-01-26,Paid Social,CMP-0003,165.06
SPEND-000179,2025-01-26,Paid Social,CMP-0004,351.51
SPEND-000180,2025-01-26,Email,CMP-0005,37.93
SPEND-000181,2025-01-26,Affiliate,CMP-0006,148.9
SPEND-000182,2025-01-26,Display,CMP-0007,189.84
SPEND-000183,2025-01-27,Paid Search,CMP-0001,636.46
SPEND-000184,2025-01-27,Paid Search,CMP-0002,34.1
SPEND-000185,2025-01-27,Paid Social,CMP-0003,22.78
SPEND-000186,2025-01-27,Paid Social,CMP-0004,609.42
SPEND-000187,2025-01-27,Email,CMP-0005,86.64
SPEND-000188,2025-01-27,Affiliate,CMP-0006,191.2
SPEND-000189,2025-01-27,Display,CMP-0007,353.81
SPEND-000190,2025-01-28,Paid Search,CMP-0001,374.15
SPEND-000191,2025-01-28,Paid Search,CMP-0002,262.71
SPEND-000192,2025-01-28,Paid Social,CMP-0003,267.72
SPEND-000193,2025-01-28,Paid Social,CMP-0004,158.87
SPEND-000194,2025-01-28,Email,CMP-0005,79.23
SPEND-000195,2025-01-28,Affiliate,CMP-0006,233.59
SPEND-000196,2025-01-28,Display,CMP-0007,381.96
SPEND-000197,2025-01-29,Paid Search,CMP-0001,493.65
SPEND-000198,2025-01-29,Paid Search,CMP-0002,35.55
SPEND-000199,2025-01-29,Paid Social,CMP-0003,54.94
SPEND-000200,2025-01-29,Paid Social,CMP-0004,375.51
SPEND-000201,2025-01-29,Email,CMP-0005,108.85
SPEND-000202,2025-01-29,Affiliate,CMP-0006,168.54
SPEND-000203,2025-01-29,Display,CMP-0007,294.05
SPEND-000204,2025-01-30,Paid Search,CMP-0001,11.85
SPEND-000205,2025-01-30,Paid Search,CMP-0002,715.21
SPEND-000206,2025-01-30,Paid Social,CMP-0003,186.82
SPEND-000207,2025-01-30,Paid Social,CMP-0004,205.46
SPEND-000208,2025-01-30,Email,CMP-0005,92.76
SPEND-000209,2025-01-30,Affiliate,CMP-0006,336.7
SPEND-000210,2025-01-30,Display,CMP-0007,334.65
SPEND-000211,2025-01-31,Paid Search,CMP-0001,227.88
SPEND-000212,2025-01-31,Paid Search,CMP-0002,59.63
SPEND-000213,2025-01-31,Paid Social,CMP-0003,239.38
SPEND-000214,2025-01-31,Paid Social,CMP-0004,120.58
SPEND-000215,2025-01-31,Email,CMP-0005,115.08
SPEND-000216,2025-01-31,Affiliate,CMP-0006,241.21
SPEND-000217,2025-01-31,Display,CMP-0007,254.66
SPEND-000218,2025-02-01,Paid Search,CMP-0008,399.26
SPEND-000219,2025-02-01,Paid Search,CMP-0009,60.96
SPEND-000220,2025-02-01,Paid Social,CMP-0010,86.31
SPEND-000221,2025-02-01,Paid Social,CMP-0011,212.93
SPEND-000222,2025-02-01,Email,CMP-0012,83.2
SPEND-000223,2025-02-01,Affiliate,CMP-0013,213.1
SPEND-000224,2025-02-01,Display,CMP-0014,318.88
SPEND-000225,2025-02-02,Paid Search,CMP-0008,174.1
SPEND-000226,2025-02-02,Paid Search,CMP-0009,123.13
SPEND-000227,2025-02-02,Paid Social,CMP-0010,179.12
SPEND-000228,2025-02-02,Paid Social,CMP-0011,281.5
SPEND-000229,2025-02-02,Email,CMP-0012,62.44
SPEND-000230,2025-02-02,Affiliate,CMP-0013,195.02
SPEND-000231,2025-02-02,Display,CMP-0014,315.83
SPEND-000232,2025-02-03,Paid Search,CMP-0008,466.75
SPEND-000233,2025-02-03,Paid Search,CMP-0009,457.4
SPEND-000234,2025-02-03,Paid Social,CMP-0010,380.04
SPEND-000235,2025-02-03,Paid Social,CMP-0011,235.78
SPEND-000236,2025-02-03,Email,CMP-0012,77.94
SPEND-000237,2025-02-03,Affiliate,CMP-0013,264.46
SPEND-000238,2025-02-03,Display,CMP-0014,223.38
SPEND-000239,2025-02-04,Paid Search,CMP-0008,73.1
SPEND-000240,2025-02-04,Paid Search,CMP-0009,490.75
SPEND-000241,2025-02-04,Paid Social,CMP-0010,443.47
SPEND-000242,2025-02-04,Paid Social,CMP-0011,0.33
SPEND-000243,2025-02-04,Email,CMP-0012,97.44
SPEND-000244,2025-02-04,Affiliate,CMP-0013,277.72
SPEND-000245,2025-02-04,Display,CMP-0014,344.26
SPEND-000246,2025-02-05,Paid Search,CMP-0008,196.1
SPEND-000247,2025-02-05,Paid Search,CMP-0009,370.15
SPEND-000248,2025-02-05,Paid Social,CMP-0010,418.37
SPEND-000249,2025-02-05,Paid Social,CMP-0011,58.55
SPEND-000250,2025-02-05,Email,CMP-0012,95.4
SPEND-000251,2025-02-05,Affiliate,CMP-0013,261.22
SPEND-000252,2025-02-05,Display,CMP-0014,403.06
SPEND-000253,2025-02-06,Paid Search,CMP-0008,717.2
SPEND-000254,2025-02-06,Paid Search,CMP-0009,115.49
SPEND-000255,2025-02-06,Paid Social,CMP-0010,125.63
SPEND-000256,2025-02-06,Paid Social,CMP-0011,147.84
SPEND-000257,2025-02-06,Email,CMP-0012,76.58
SPEND-000258,2025-02-06,Affiliate,CMP-0013,228.33
SPEND-000259,2025-02-06,Display,CMP-0014,308.2
SPEND-000260,2025-02-07,Paid Search,CMP-0008,445.01
SPEND-000261,2025-02-07,Paid Search,CMP-0009,30.26
SPEND-000262,2025-02-07,Paid Social,CMP-0010,87.37
SPEND-000263,2025-02-07,Paid Social,CMP-0011,469.18
SPEND-000264,2025-02-07,Email,CMP-0012,120.23
SPEND-000265,2025-02-07,Affiliate,CMP-0013,278.25
SPEND-000266,2025-02-07,Display,CMP-0014,373.17
SPEND-000267,2025-02-08,Paid Search,CMP-0008,373.32
SPEND-000268,2025-02-08,Paid Search,CMP-0009,81.04
SPEND-000269,2025-02-08,Paid Social,CMP-0010,229.47
SPEND-000270,2025-02-08,Paid Social,CMP-0011,6.4
SPEND-000271,2025-02-08,Email,CMP-0012,55.58
SPEND-000272,2025-02-08,Affiliate,CMP-0013,196.16
SPEND-000273,2025-02-08,Display,CMP-0014,190.43
SPEND-000274,2025-02-09,Paid Search,CMP-0008,143.02
SPEND-000275,2025-02-09,Paid Search,CMP-0009,290.07
SPEND-000276,2025-02-09,Paid Social,CMP-0010,86.48
SPEND-000277,2025-02-09,Paid Social,CMP-0011,396.08
SPEND-000278,2025-02-09,Email,CMP-0012,87.39
SPEND-000279,2025-02-09,Affiliate,CMP-0013,237.0
SPEND-000280,2025-02-09,Display,CMP-0014,273.59
SPEND-000281,2025-02-10,Paid Search,CMP-0008,86.21
SPEND-000282,2025-02-10,Paid Search,CMP-0009,451.49
SPEND-000283,2025-02-10,Paid Social,CMP-0010,269.85
SPEND-000284,2025-02-10,Paid Social,CMP-0011,339.39
SPEND-000285,2025-02-10,Email,CMP-0012,105.41
SPEND-000286,2025-02-10,Affiliate,CMP-0013,378.29
SPEND-000287,2025-02-10,Display,CMP-0014,213.27
SPEND-000288,2025-02-11,Paid Search,CMP-0008,621.34
SPEND-000289,2025-02-11,Paid Search,CMP-0009,62.97
SPEND-000290,2025-02-11,Paid Social,CMP-0010,488.07
SPEND-000291,2025-02-11,Paid Social,CMP-0011,152.45
SPEND-000292,2025-02-11,Email,CMP-0012,81.63
SPEND-000293,2025-02-11,Affiliate,CMP-0013,251.38
SPEND-000294,2025-02-11,Display,CMP-0014,277.57
SPEND-000295,2025-02-12,Paid Search,CMP-0008,111.36
SPEND-000296,2025-02-12,Paid Search,CMP-0009,275.55
SPEND-000297,2025-02-12,Paid Social,CMP-0010,223.73
SPEND-000298,2025-02-12,Paid Social,CMP-0011,267.19
SPEND-000299,2025-02-12,Email,CMP-0012,77.76
SPEND-000300,2025-02-12,Affiliate,CMP-0013,232.23
SPEND-000301,2025-02-12,Display,CMP-0014,397.3
SPEND-000302,2025-02-13,Paid Search,CMP-0008,31.06
SPEND-000303,2025-02-13,Paid Search,CMP-0009,519.89
SPEND-000304,2025-02-13,Paid Social,CMP-0010,171.21
SPEND-000305,2025-02-13,Paid Social,CMP-0011,284.29
SPEND-000306,2025-02-13,Email,CMP-0012,96.69
SPEND-000307,2025-02-13,Affiliate,CMP-0013,193.16
SPEND-000308,2025-02-13,Display,CMP-0014,476.53
SPEND-000309,2025-02-14,Paid Search,CMP-0008,527.44
SPEND-000310,2025-02-14,Paid Search,CMP-0009,53.8
SPEND-000311,2025-02-14,Paid Social,CMP-0010,252.45
SPEND-000312,2025-02-14,Paid Social,CMP-0011,137.38
SPEND-000313,2025-02-14,Email,CMP-0012,92.89
SPEND-000314,2025-02-14,Affiliate,CMP-0013,228.08
SPEND-000315,2025-02-14,Display,CMP-0014,241.91
SPEND-000316,2025-02-15,Paid Search,CMP-0008,321.15
SPEND-000317,2025-02-15,Paid Search,CMP-0009,149.33
SPEND-000318,2025-02-15,Paid Social,CMP-0010,16.9
SPEND-000319,2025-02-15,Paid Social,CMP-0011,214.98
SPEND-000320,2025-02-15,Email,CMP-0012,73.13
SPEND-000321,2025-02-15,Affiliate,CMP-0013,181.33
SPEND-000322,2025-02-15,Display,CMP-0014,332.0
SPEND-000323,2025-02-16,Paid Search,CMP-0008,238.02
SPEND-000324,2025-02-16,Paid Search,CMP-0009,136.55
SPEND-000325,2025-02-16,Paid Social,CMP-0010,65.58
SPEND-000326,2025-02-16,Paid Social,CMP-0011,276.93
SPEND-000327,2025-02-16,Email,CMP-0012,63.31
SPEND-000328,2025-02-16,Affiliate,CMP-0013,195.23
SPEND-000329,2025-02-16,Display,CMP-0014,199.48
SPEND-000330,2025-02-17,Paid Search,CMP-0008,192.47
SPEND-000331,2025-02-17,Paid Search,CMP-0009,527.69
SPEND-000332,2025-02-17,Paid Social,CMP-0010,84.61
SPEND-000333,2025-02-17,Paid Social,CMP-0011,432.54
SPEND-000334,2025-02-17,Email,CMP-0012,106.63
SPEND-000335,2025-02-17,Affiliate,CMP-0013,288.22
SPEND-000336,2025-02-17,Display,CMP-0014,238.4
SPEND-000337,2025-02-18,Paid Search,CMP-0008,30.2
SPEND-000338,2025-02-18,Paid Search,CMP-0009,432.43
SPEND-000339,2025-02-18,Paid Social,CMP-0010,186.77
SPEND-000340,2025-02-18,Paid Social,CMP-0011,59.74
SPEND-000341,2025-02-18,Email,CMP-0012,119.53
SPEND-000342,2025-02-18,Affiliate,CMP-0013,348.32
SPEND-000343,2025-02-18,Display,CMP-0014,241.51
SPEND-000344,2025-02-19,Paid Search,CMP-0008,117.98
SPEND-000345,2025-02-19,Paid Search,CMP-0009,547.86
SPEND-000346,2025-02-19,Paid Social,CMP-0010,33.54
SPEND-000347,2025-02-19,Paid Social,CMP-0011,431.15
SPEND-000348,2025-02-19,Email,CMP-0012,89.32
SPEND-000349,2025-02-19,Affiliate,CMP-0013,150.48
SPEND-000350,2025-02-19,Display,CMP-0014,193.45
SPEND-000351,2025-02-20,Paid Search,CMP-0008,487.53
SPEND-000352,2025-02-20,Paid Search,CMP-0009,267.99
SPEND-000353,2025-02-20,Paid Social,CMP-0010,408.53
SPEND-000354,2025-02-20,Paid Social,CMP-0011,358.48
SPEND-000355,2025-02-20,Email,CMP-0012,116.21
SPEND-000356,2025-02-20,Affiliate,CMP-0013,172.94
SPEND-000357,2025-02-20,Display,CMP-0014,375.25
SPEND-000358,2025-02-21,Paid Search,CMP-0008,50.18
SPEND-000359,2025-02-21,Paid Search,CMP-0009,472.99
SPEND-000360,2025-02-21,Paid Social,CMP-0010,268.39
SPEND-000361,2025-02-21,Paid Social,CMP-0011,189.48
SPEND-000362,2025-02-21,Email,CMP-0012,103.77
SPEND-000363,2025-02-21,Affiliate,CMP-0013,238.9
SPEND-000364,2025-02-21,Display,CMP-0014,423.01
SPEND-000365,2025-02-22,Paid Search,CMP-0008,285.32
SPEND-000366,2025-02-22,Paid Search,CMP-0009,55.31
SPEND-000367,2025-02-22,Paid Social,CMP-0010,325.34
SPEND-000368,2025-02-22,Paid Social,CMP-0011,30.56
SPEND-000369,2025-02-22,Email,CMP-0012,84.7
SPEND-000370,2025-02-22,Affiliate,CMP-0013,240.73
SPEND-000371,2025-02-22,Display,CMP-0014,231.12
SPEND-000372,2025-02-23,Paid Search,CMP-0008,111.75
SPEND-000373,2025-02-23,Paid Search,CMP-0009,314.2
SPEND-000374,2025-02-23,Paid Social,CMP-0010,31.15
SPEND-000375,2025-02-23,Paid Social,CMP-0011,328.37
SPEND-000376,2025-02-23,Email,CMP-0012,71.93
SPEND-000377,2025-02-23,Affiliate,CMP-0013,129.33
SPEND-000378,2025-02-23,Display,CMP-0014,205.22
SPEND-000379,2025-02-24,Paid Search,CMP-0008,474.05
SPEND-000380,2025-02-24,Paid Search,CMP-0009,238.82
SPEND-000381,2025-02-24,Paid Social,CMP-0010,3.03
SPEND-000382,2025-02-24,Paid Social,CMP-0011,508.83
SPEND-000383,2025-02-24,Email,CMP-0012,81.31
SPEND-000384,2025-02-24,Affiliate,CMP-0013,317.99
SPEND-000385,2025-02-24,Display,CMP-0014,291.72
SPEND-000386,2025-02-25,Paid Search,CMP-0008,295.49
SPEND-000387,2025-02-25,Paid Search,CMP-0009,329.37
SPEND-000388,2025-02-25,Paid Social,CMP-0010,339.73
SPEND-000389,2025-02-25,Paid Social,CMP-0011,107.0
SPEND-000390,2025-02-25,Email,CMP-0012,114.05
SPEND-000391,2025-02-25,Affiliate,CMP-0013,216.87
SPEND-000392,2025-02-25,Display,CMP-0014,343.9
SPEND-000393,2025-02-26,Paid Search,CMP-0008,263.43
SPEND-000394,2025-02-26,Paid Search,CMP-0009,426.81
SPEND-000395,2025-02-26,Paid Social,CMP-0010,371.1
SPEND-000396,2025-02-26,Paid Social,CMP-0011,230.37
SPEND-000397,2025-02-26,Email,CMP-0012,113.31
SPEND-000398,2025-02-26,Affiliate,CMP-0013,286.68
SPEND-000399,2025-02-26,Display,CMP-0014,377.66
SPEND-000400,2025-02-27,Paid Search,CMP-0008,205.41
SPEND-000401,2025-02-27,Paid Search,CMP-0009,373.78
SPEND-000402,2025-02-27,Paid Social,CMP-0010,574.3
SPEND-000403,2025-02-27,Paid Social,CMP-0011,42.21
SPEND-000404,2025-02-27,Email,CMP-0012,78.77
SPEND-000405,2025-02-27,Affiliate,CMP-0013,288.5
SPEND-000406,2025-02-27,Display,CMP-0014,394.53
SPEND-000407,2025-02-28,Paid Search,CMP-0008,25.44
SPEND-000408,2025-02-28,Paid Search,CMP-0009,717.5
SPEND-000409,2025-02-28,Paid Social,CMP-0010,459.63
SPEND-000410,2025-02-28,Paid Social,CMP-0011,163.94
SPEND-000411,2025-02-28,Email,CMP-0012,94.36
SPEND-000412,2025-02-28,Affiliate,CMP-0013,207.23
SPEND-000413,2025-02-28,Display,CMP-0014,345.89
SPEND-000414,2025-03-01,Paid Search,CMP-0015,424.2
SPEND-000415,2025-03-01,Paid Search,CMP-0016,144.85
SPEND-000416,2025-03-01,Paid Social,CMP-0017,262.92
SPEND-000417,2025-03-01,Paid Social,CMP-0018,77.59
SPEND-000418,2025-03-01,Email,CMP-0019,78.02
SPEND-000419,2025-03-01,Affiliate,CMP-0020,210.91
SPEND-000420,2025-03-01,Display,CMP-0021,288.97
SPEND-000421,2025-03-02,Paid Search,CMP-0015,455.14
SPEND-000422,2025-03-02,Paid Search,CMP-0016,74.02
SPEND-000423,2025-03-02,Paid Social,CMP-0017,19.83
SPEND-000424,2025-03-02,Paid Social,CMP-0018,346.62
SPEND-000425,2025-03-02,Email,CMP-0019,55.62
SPEND-000426,2025-03-02,Affiliate,CMP-0020,196.5
SPEND-000427,2025-03-02,Display,CMP-0021,224.89
SPEND-000428,2025-03-03,Paid Search,CMP-0015,259.13
SPEND-000429,2025-03-03,Paid Search,CMP-0016,109.83
SPEND-000430,2025-03-03,Paid Social,CMP-0017,91.45
SPEND-000431,2025-03-03,Paid Social,CMP-0018,212.25
SPEND-000432,2025-03-03,Email,CMP-0019,96.77
SPEND-000433,2025-03-03,Affiliate,CMP-0020,258.58
SPEND-000434,2025-03-03,Display,CMP-0021,327.86
SPEND-000435,2025-03-04,Paid Search,CMP-0015,6.77
SPEND-000436,2025-03-04,Paid Search,CMP-0016,440.79
SPEND-000437,2025-03-04,Paid Social,CMP-0017,520.04
SPEND-000438,2025-03-04,Paid Social,CMP-0018,97.32
SPEND-000439,2025-03-04,Email,CMP-0019,84.09
SPEND-000440,2025-03-04,Affiliate,CMP-0020,358.95
SPEND-000441,2025-03-04,Display,CMP-0021,327.07
SPEND-000442,2025-03-05,Paid Search,CMP-0015,55.66
SPEND-000443,2025-03-05,Paid Search,CMP-0016,536.99
SPEND-000444,2025-03-05,Paid Social,CMP-0017,296.24
SPEND-000445,2025-03-05,Paid Social,CMP-0018,198.88
SPEND-000446,2025-03-05,Email,CMP-0019,106.35
SPEND-000447,2025-03-05,Affiliate,CMP-0020,222.34
SPEND-000448,2025-03-05,Display,CMP-0021,449.03
