customer_id,signup_date,region,acquisition_channel,segment
CUST-00124,2025-06-21,Northeast,Display,Returning
CUST-00125,2025-11-09,West,Paid Search,New
CUST-00126,2025-07-26,Northeast,Paid Search,Returning
CUST-00127,2025-01-29,South,Paid Search,New
CUST-00128,2025-10-07,Northeast,Paid Social,New
CUST-00129,2025-07-29,Northeast,Email,Returning
CUST-00130,2025-08-20,South,Paid Search,Returning
CUST-00131,2025-07-26,Midwest,Paid Social,New
CUST-00132,2025-07-22,South,Email,New
CUST-00133,2025-02-03,Northeast,Paid Search,VIP
CUST-00134,2025-07-24,West,Organic/Direct,Returning
CUST-00135,2025-10-18,South,Affiliate,Returning
CUST-00136,2025-04-21,West,Paid Social,New
CUST-00137,2025-08-09,Northeast,Email,VIP
CUST-00138,2025-01-12,Midwest,Paid Social,Returning
CUST-00139,2025-05-07,Midwest,Organic/Direct,New
CUST-00140,2025-06-09,South,Affiliate,New
CUST-00141,2025-12-25,Midwest,Email,Returning
CUST-00142,2025-03-20,Northeast,Organic/Direct,Returning
CUST-00143,2025-04-11,Midwest,Organic/Direct,Returning
CUST-00144,2025-05-30,Northeast,Organic/Direct,VIP
CUST-00145,2025-12-29,Midwest,Paid Search,Returning
CUST-00146,2025-11-08,Northeast,Paid Search,New
CUST-00147,2025-01-13,Northeast,Affiliate,New
CUST-00148,2025-03-27,South,Email,Returning
CUST-00149,2025-10-27,Midwest,Affiliate,New
CUST-00150,2025-01-22,Midwest,Display,New
CUST-00151,2025-11-09,South,Paid Social,Returning
CUST-00152,2025-04-13,South,Paid Social,New
CUST-00153,2025-12-01,Midwest,Email,Returning
CUST-00154,2025-04-18,South,Paid Social,New
CUST-00155,2025-06-08,West,Affiliate,New
CUST-00156,2025-08-30,South,Display,New
CUST-00157,2025-02-16,West,Email,Returning
CUST-00158,2025-07-23,South,Display,Returning
CUST-00159,2025-07-04,Northeast,Email,New
CUST-00160,2025-10-14,Midwest,Display,New
CUST-00161,2025-12-30,South,Paid Search,New
CUST-00162,2025-08-31,West,Display,Returning
CUST-00163,2025-05-30,Midwest,Display,VIP
CUST-00164,2025-05-29,Northeast,Paid Social,Returning
CUST-00165,2025-06-02,South,Email,New
CUST-00166,2025-10-25,Northeast,Organic/Direct,Returning
CUST-00167,2025-04-28,South,Paid Social,New
CUST-00168,2025-03-02,Midwest,Display,New
CUST-00169,2025-05-03,South,Organic/Direct,New
CUST-00170,2025-01-09,West,Organic/Direct,New
CUST-00171,2025-02-08,South,Paid Social,New
CUST-00172,2025-02-02,South,Affiliate,Returning
CUST-00173,2025-10-09,South,Organic/Direct,New
CUST-00174,2025-09-21,West,Affiliate,Returning
CUST-00175,2025-09-12,West,Paid Search,VIP
CUST-00176,2025-06-18,Northeast,Paid Search,Returning
CUST-00177,2025-09-19,South,Display,New
CUST-00178,2025-02-28,Northeast,Paid Social,Returning
CUST-00179,2025-11-25,West,Paid Social,New
CUST-00180,2025-07-02,South,Paid Social,New
CUST-00181,2025-12-09,Midwest,Display,New
CUST-00182,2025-02-25,Northeast,Email,Returning
CUST-00183,2025-07-01,Midwest,Organic/Direct,Returning
CUST-00184,2025-09-12,South,Display,Returning
CUST-00185,2025-06-30,Northeast,Organic/Direct,Returning
CUST-00186,2025-06-12,Northeast,Organic/Direct,New
CUST-00187,2025-03-02,West,Paid Social,Returning
CUST-00188,2025-05-20,South,Affiliate,Returning
CUST-00189,2025-03-29,Northeast,Paid Search,New
CUST-00190,2025-04-21,Midwest,Organic/Direct,VIP
CUST-00191,2025-09-07,West,Paid Social,Returning
CUST-00192,2025-08-19,South,Affiliate,New
CUST-00193,2025-08-10,South,Organic/Direct,New
CUST-00194,2025-05-13,Midwest,Paid Search,New
CUST-00195,2025-12-17,Midwest,Organic/Direct,Returning
CUST-00196,2025-02-01,Northeast,Paid Search,New
CUST-00197,2025-05-06,South,Email,New
CUST-00198,2025-02-13,Northeast,Email,Returning
CUST-00199,2025-05-04,Northeast,Paid Social,Returning
CUST-00200,2025-12-18,South,Affiliate,Returning
CUST-00201,2025-05-14,West,Organic/Direct,Returning
CUST-00202,2025-11-28,South,Paid Social,New
CUST-00203,2025-06-30,Midwest,Affiliate,New
CUST-00204,2025-09-13,Midwest,Organic/Direct,Returning
CUST-00205,2025-06-16,Midwest,Display,New
CUST-00206,2025-04-08,Midwest,Paid Search,Returning
CUST-00207,2025-10-06,South,Organic/Direct,VIP
CUST-00208,2025-12-20,Midwest,Paid Search,Returning
CUST-00209,2025-04-07,South,Affiliate,Returning
CUST-00210,2025-10-12,West,Affiliate,Returning
CUST-00211,2025-04-06,West,Display,Returning
CUST-00212,2025-09-19,Northeast,Paid Search,New
CUST-00213,2025-10-15,Midwest,Paid Search,New
CUST-00214,2025-06-14,Northeast,Display,New
CUST-00215,2025-09-26,Midwest,Paid Search,Returning
CUST-00216,2025-04-10,Midwest,Email,New
CUST-00217,2025-01-29,Northeast,Display,New
CUST-00218,2025-02-05,South,Affiliate,Returning
CUST-00219,2025-06-13,Midwest,Paid Search,New
CUST-00220,2025-11-26,West,Paid Social,Returning
CUST-00221,2025-02-16,Northeast,Organic/Direct,New
CUST-00222,2025-06-16,Northeast,Email,New
CUST-00223,2025-09-14,Midwest,Paid Search,New
CUST-00224,2025-03-15,Northeast,Paid Search,New
CUST-00225,2025-09-21,Northeast,Paid Social,VIP
CUST-00226,2025-04-22,West,Organic/Direct,VIP
CUST-00227,2025-10-23,Northeast,Paid Social,Returning
CUST-00228,2025-07-31,Northeast,Paid Search,Returning
CUST-00229,2025-07-19,South,Email,Returning
CUST-00230,2025-03-06,Midwest,Paid Search,Returning
CUST-00231,2025-06-19,South,Paid Social,New
CUST-00232,2025-11-09,Midwest,Organic/Direct,New
CUST-00233,2025-01-08,West,Display,Returning
CUST-00234,2025-10-04,Northeast,Paid Search,VIP
CUST-00235,2025-06-29,Midwest,Email,New
CUST-00236,2025-09-20,South,Paid Search,New
CUST-00237,2025-08-31,West,Paid Search,New
CUST-00238,2025-06-07,Midwest,Affiliate,New
CUST-00239,2025-04-23,South,Email,Returning
CUST-00240,2025-08-17,Northeast,Display,New
CUST-00241,2025-02-21,Northeast,Organic/Direct,VIP
CUST-00242,2025-08-02,Northeast,Paid Social,Returning
CUST-00243,2025-02-04,South,Organic/Direct,New
CUST-00244,2025-08-26,Midwest,Email,Returning
CUST-00245,2025-08-18,South,Paid Social,Returning
CUST-00246,2025-01-31,Northeast,Organic/Direct,New
CUST-00247,2025-10-04,West,Paid Search,New
CUST-00248,2025-06-01,West,Email,Returning
CUST-00249,2025-10-15,Northeast,Display,New
CUST-00250,2025-01-16,Northeast,Paid Social,New
CUST-00251,2025-03-07,Northeast,Organic/Direct,New
CUST-00252,2025-06-30,West,Paid Social,New
CUST-00253,2025-03-10,Northeast,Organic/Direct,Returning
CUST-00254,2025-05-01,South,Paid Search,New
CUST-00255,2025-08-30,Midwest,Paid Search,Returning
CUST-00256,2025-02-22,South,Paid Social,New
CUST-00257,2025-09-05,Midwest,Organic/Direct,Returning
CUST-00258,2025-02-07,Midwest,Paid Search,New
CUST-00259,2025-03-05,West,Organic/Direct,VIP
CUST-00260,2025-08-03,Northeast,Paid Search,VIP
CUST-00261,2025-10-17,West,Email,New
CUST-00262,2025-03-04,Northeast,Paid Social,Returning
CUST-00263,2025-04-20,Midwest,Paid Search,New
CUST-00264,2025-12-04,West,Organic/Direct,Returning
CUST-00265,2025-12-28,South,Paid Social,Returning
CUST-00266,2025-08-01,South,Affiliate,New
CUST-00267,2025-06-13,Northeast,Affiliate,New
CUST-00268,2025-05-07,Midwest,Email,New
CUST-00269,2025-08-12,Midwest,Affiliate,Returning
CUST-00270,2025-08-04,South,Organic/Direct,Returning
CUST-00271,2025-04-18,Midwest,Affiliate,New
CUST-00272,2025-01-09,Midwest,Email,New
CUST-00273,2025-02-25,Midwest,Affiliate,New
CUST-00274,2025-12-16,Northeast,Affiliate,Returning
CUST-00275,2025-06-02,Midwest,Paid Social,New
CUST-00276,2025-06-26,Northeast,Affiliate,New
CUST-00277,2025-06-20,West,Email,Returning
CUST-00278,2025-10-13,South,Display,New
CUST-00279,2025-01-24,Northeast,Organic/Direct,Returning
CUST-00280,2025-01-31,South,Organic/Direct,New
CUST-00281,2025-04-11,West,Organic/Direct,New
CUST-00282,2025-06-27,Northeast,Affiliate,Returning
CUST-00283,2025-09-02,Northeast,Display,New
CUST-00284,2025-06-29,Northeast,Paid Search,New
CUST-00285,2025-06-11,Northeast,Email,VIP
CUST-00286,2025-12-09,South,Paid Social,Returning
CUST-00287,2025-02-28,West,Paid Search,Returning
CUST-00288,2025-07-28,Northeast,Organic/Direct,New
CUST-00289,2025-07-17,South,Organic/Direct,New
CUST-00290,2025-06-22,Northeast,Email,New
CUST-00291,2025-10-22,South,Paid Social,VIP
CUST-00292,2025-04-08,South,Affiliate,Returning
CUST-00293,2025-12-15,Midwest,Paid Social,New
CUST-00294,2025-05-02,Northeast,Organic/Direct,VIP
CUST-00295,2025-07-18,South,Organic/Direct,New
CUST-00296,2025-07-10,West,Paid Social,Returning
CUST-00297,2025-11-07,Northeast,Paid Social,New
CUST-00298,2025-06-10,Northeast,Paid Social,New
CUST-00299,2025-04-14,Northeast,Paid Search,VIP
CUST-00300,2025-01-08,South,Paid Social,Returning
CUST-00301,2025-05-13,South,Paid Search,New
CUST-00302,2025-10-29,South,Paid Search,New
CUST-00303,2025-01-04,South,Paid Social,Returning
CUST-00304,2025-11-24,West,Paid Search,New
CUST-00305,2025-07-18,West,Display,Returning
CUST-00306,2025-02-21,Northeast,Paid Search,Returning
CUST-00307,2025-04-21,South,Organic/Direct,New
CUST-00308,2025-07-22,Midwest,Paid Search,New
CUST-00309,2025-04-26,Midwest,Paid Search,New
CUST-00310,2025-02-09,West,Paid Search,VIP
CUST-00311,2025-09-01,South,Display,New
CUST-00312,2025-09-03,West,Paid Social,Returning
CUST-00313,2025-02-13,Midwest,Email,New
CUST-00314,2025-04-13,South,Paid Search,Returning
CUST-00315,2025-03-31,Midwest,Organic/Direct,New
CUST-00316,2025-08-29,Northeast,Paid Search,New
CUST-00317,2025-09-24,Northeast,Paid Social,Returning
CUST-00318,2025-09-23,South,Organic/Direct,Returning
CUST-00319,2025-12-09,Northeast,Paid Social,New
CUST-00320,2025-10-08,West,Paid Social,New
CUST-00321,2025-04-28,Northeast,Organic/Direct,VIP
CUST-00322,2025-02-09,Northeast,Paid Social,New
CUST-00323,2025-08-13,South,Paid Search,New
CUST-00324,2025-12-01,Northeast,Paid Social,New
CUST-00325,2025-12-22,West,Paid Search,New
CUST-00326,2025-03-26,South,Organic/Direct,Returning
CUST-00327,2025-03-28,Northeast,Affiliate,Returning
CUST-00328,2025-01-14,South,Affiliate,New
CUST-00329,2025-02-21,South,Paid Search,Returning
CUST-00330,2025-07-22,South,Affiliate,New
CUST-00331,2025-07-19,West,Affiliate,Returning
CUST-00332,2025-05-16,South,Paid Search,New
CUST-00333,2025-04-24,South,Organic/Direct,New
CUST-00334,2025-10-30,Midwest,Affiliate,Returning
CUST-00335,2025-06-17,South,Display,New
CUST-00336,2025-10-23,West,Paid Social,New
CUST-00337,2025-12-18,South,Paid Search,New
CUST-00338,2025-04-26,South,Display,Returning
CUST-00339,2025-03-15,Midwest,Display,New
CUST-00340,2025-12-14,South,Paid Social,Returning
CUST-00341,2025-08-20,West,Paid Search,Returning
CUST-00342,2025-04-17,Northeast,Organic/Direct,Returning
CUST-00343,2025-08-15,Northeast,Paid Search,New
CUST-00344,2025-07-07,South,Paid Social,Returning
CUST-00345,2025-11-27,Midwest,Affiliate,New
CUST-00346,2025-04-04,South,Paid Search,VIP
CUST-00347,2025-12-28,Northeast,Paid Search,Returning
CUST-00348,2025-12-08,Midwest,Paid Search,New
CUST-00349,2025-03-07,South,Organic/Direct,Returning
CUST-00350,2025-03-02,South,Paid Social,New
CUST-00351,2025-07-14,South,Affiliate,New
CUST-00352,2025-01-17,South,Organic/Direct,New
CUST-00353,2025-04-20,South,Affiliate,Returning
CUST-00354,2025-06-08,South,Email,Returning
CUST-00355,2025-12-20,South,Email,Returning
CUST-00356,2025-12-29,South,Paid Social,New
CUST-00357,2025-02-25,South,Affiliate,Returning
CUST-00358,2025-11-22,Northeast,Organic/Direct,Returning
CUST-00359,2025-02-03,Midwest,Display,Returning
CUST-00360,2025-10-01,South,Paid Social,New
CUST-00361,2025-11-05,West,Paid Social,New
CUST-00362,2025-11-22,South,Organic/Direct,Returning
CUST-00363,2025-03-23,Northeast,Paid Search,New
CUST-00364,2025-11-23,South,Organic/Direct,New
CUST-00365,2025-02-12,Northeast,Paid Social,New
CUST-00366,2025-07-09,South,Display,New
CUST-00367,2025-06-21,West,Organic/Direct,New
CUST-00368,2025-04-26,South,Email,New
CUST-00369,2025-01-09,South,Paid Search,Returning
CUST-00370,2025-10-09,Midwest,Organic/Direct,VIP
CUST-00371,2025-05-03,Midwest,Paid Social,New
CUST-00372,2025-08-30,West,Paid Social,New
CUST-00373,2025-05-30,South,Email,Returning
CUST-00374,2025-05-17,South,Paid Social,New
CUST-00375,2025-11-20,Midwest,Affiliate,VIP
CUST-00376,2025-02-04,Northeast,Paid Search,Returning
CUST-00377,2025-09-26,Northeast,Paid Social,New
CUST-00378,2025-09-30,Northeast,Organic/Direct,New
CUST-00379,2025-05-19,Midwest,Paid Search,New
CUST-00380,2025-04-06,West,Email,Returning
CUST-00381,2025-01-02,Midwest,Affiliate,New
CUST-00382,2025-12-08,Northeast,Organic/Direct,Returning
CUST-00383,2025-12-12,Northeast,Affiliate,Returning
CUST-00384,2025-03-29,Midwest,Organic/Direct,Returning
CUST-00385,2025-01-12,West,Paid Search,Returning
CUST-00386,2025-02-14,Midwest,Paid Social,New
CUST-00387,2025-01-25,South,Organic/Direct,New
CUST-00388,2025-10-31,West,Organic/Direct,Returning
CUST-00389,2025-11-22,Northeast,Email,New
CUST-00390,2025-02-25,South,Email,New
CUST-00391,2025-09-30,West,Email,New
CUST-00392,2025-03-07,Midwest,Paid Search,New
CUST-00393,2025-05-15,Northeast,Organic/Direct,Returning
CUST-00394,2025-08-07,West,Organic/Direct,New
CUST-00395,2025-09-20,West,Email,Returning
CUST-00396,2025-11-16,South,Paid Social,VIP
CUST-00397,2025-01-17,South,Paid Social,New
CUST-00398,2025-03-13,Northeast,Paid Search,Returning
CUST-00399,2025-04-13,West,Display,New
CUST-00400,2025-04-24,Midwest,Email,New
CUST-00401,2025-12-31,Northeast,Paid Search,New
CUST-00402,2025-10-11,South,Affiliate,New
CUST-00403,2025-04-27,West,Organic/Direct,New
CUST-00404,2025-12-21,West,Paid Search,New
CUST-00405,2025-07-02,Midwest,Email,New
CUST-00406,2025-07-02,Northeast,Email,New
CUST-00407,2025-06-08,West,Paid Search,Returning
CUST-00408,2025-02-22,West,Email,New
CUST-00409,2025-12-08,South,Affiliate,Returning
CUST-00410,2025-01-06,South,Paid Search,VIP
CUST-00411,2025-03-05,Midwest,Paid Search,Returning
CUST-00412,2025-03-25,Midwest,Organic/Direct,Returning
CUST-00413,2025-04-12,Northeast,Paid Social,Returning
CUST-00414,2025-02-18,Northeast,Affiliate,Returning
CUST-00415,2025-01-07,Northeast,Affiliate,VIP
CUST-00416,2025-09-05,West,Organic/Direct,VIP
CUST-00417,2025-12-20,Northeast,Display,New
CUST-00418,2025-02-14,Northeast,Organic/Direct,Returning
CUST-00419,2025-04-19,South,Affiliate,Returning
CUST-00420,2025-07-04,Northeast,Email,New
CUST-00421,2025-12-05,Northeast,Paid Social,New
CUST-00422,2025-09-11,South,Paid Social,Returning
CUST-00423,2025-10-07,Midwest,Paid Social,Returning
CUST-00424,2025-08-01,South,Paid Search,New
CUST-00425,2025-06-02,West,Paid Social,New
CUST-00426,2025-03-14,Northeast,Paid Social,New
CUST-00427,2025-11-12,West,Paid Search,Returning
CUST-00428,2025-10-21,West,Paid Social,VIP
CUST-00429,2025-01-10,West,Display,Returning
CUST-00430,2025-09-19,South,Affiliate,New
CUST-00431,2025-01-31,South,Organic/Direct,New
CUST-00432,2025-09-27,South,Email,Returning
CUST-00433,2025-10-29,South,Organic/Direct,Returning
CUST-00434,2025-02-17,Northeast,Display,New
CUST-00435,2025-06-08,West,Paid Search,New
CUST-00436,2025-02-15,South,Organic/Direct,New
CUST-00437,2025-07-27,South,Paid Search,Returning
CUST-00438,2025-12-05,Midwest,Affiliate,Returning
CUST-00439,2025-01-30,Northeast,Display,New
CUST-00440,2025-05-26,Midwest,Paid Social,VIP
CUST-00441,2025-12-22,Midwest,Affiliate,Returning
CUST-00442,2025-04-20,Midwest,Paid Social,VIP
CUST-00443,2025-02-18,Midwest,Paid Search,New
CUST-00444,2025-06-28,Northeast,Paid Search,New
CUST-00445,2025-07-05,South,Paid Search,VIP
CUST-00446,2025-08-30,Midwest,Paid Search,VIP
CUST-00447,2025-04-25,West,Affiliate,VIP
CUST-00448,2025-12-15,Northeast,Email,Returning
CUST-00449,2025-07-10,Midwest,Email,New
CUST-00450,2025-04-15,Midwest,Affiliate,New
CUST-00451,2025-12-17,South,Paid Search,New
CUST-00452,2025-12-04,Midwest,Paid Social,VIP
CUST-00453,2025-07-02,South,Display,New
CUST-00454,2025-01-10,West,Organic/Direct,Returning
CUST-00455,2025-08-06,Midwest,Paid Social,VIP
CUST-00456,2025-07-22,South,Paid Search,VIP
CUST-00457,2025-02-24,Northeast,Display,VIP
CUST-00458,2025-08-20,Northeast,Organic/Direct,Returning
CUST-00459,2025-11-03,Midwest,Paid Social,New
CUST-00460,2025-02-08,Northeast,Paid Social,VIP
CUST-00461,2025-09-22,South,Paid Search,New
CUST-00462,2025-02-21,South,Affiliate,New
CUST-00463,2025-10-01,South,Organic/Direct,VIP
CUST-00464,2025-06-02,South,Affiliate,Returning
CUST-00465,2025-01-03,South,Paid Social,New
CUST-00466,2025-12-19,Midwest,Affiliate,New
CUST-00467,2025-03-02,Northeast,Organic/Direct,New
CUST-00468,2025-08-06,Northeast,Email,VIP
CUST-00469,2025-03-08,South,Organic/Direct,Returning
CUST-00470,2025-12-07,West,Paid Social,New
CUST-00471,2025-09-27,Northeast,Paid Social,Returning
CUST-00472,2025-10-21,South,Affiliate,Returning
CUST-00473,2025-06-07,South,Email,VIP
CUST-00474,2025-06-20,West,Organic/Direct,New
CUST-00475,2025-08-20,South,Email,Returning
CUST-00476,2025-10-14,South,Paid Social,New
CUST-00477,2025-11-06,South,Paid Social,New
CUST-00478,2025-01-07,West,Email,New
CUST-00479,2025-08-31,Northeast,Paid Social,New
CUST-00480,2025-02-09,West,Display,Returning
CUST-00481,2025-04-16,Northeast,Paid Social,New
CUST-00482,2025-10-30,West,Paid Social,New
CUST-00483,2025-04-02,Northeast,Affiliate,New
CUST-00484,2025-10-18,Northeast,Paid Search,New
CUST-00485,2025-06-18,Northeast,Affiliate,Returning
CUST-00486,2025-03-26,Midwest,Email,New
CUST-00487,2025-05-02,Midwest,Email,New
CUST-00488,2025-07-13,Northeast,Display,VIP
CUST-00489,2025-10-07,Midwest,Display,New
CUST-00490,2025-08-10,Midwest,Organic/Direct,Returning
CUST-00491,2025-12-07,South,Paid Social,Returning
CUST-00492,2025-11-13,West,Paid Social,Returning
CUST-00493,2025-10-02,South,Display,Returning
CUST-00494,2025-08-09,Northeast,Affiliate,New
CUST-00495,2025-04-16,Midwest,Affiliate,Returning
CUST-00496,2025-05-31,West,Email,Returning
CUST-00497,2025-02-13,Northeast,Display,New
CUST-00498,2025-05-17,Midwest,Paid Search,Returning
CUST-00499,2025-12-05,West,Email,New
CUST-00500,2025-06-05,West,Paid Search,VIP
CUST-00501,2025-02-11,Midwest,Paid Social,Returning
CUST-00502,2025-08-26,South,Affiliate,New
CUST-00503,2025-12-18,Midwest,Email,Returning
CUST-00504,2025-11-13,South,Paid Social,VIP
CUST-00505,2025-04-11,Northeast,Organic/Direct,Returning
CUST-00506,2025-06-15,Northeast,Display,New
CUST-00507,2025-07-13,South,Email,Returning
CUST-00508,2025-04-01,Northeast,Organic/Direct,Returning
CUST-00509,2025-04-09,South,Paid Social,New
CUST-00510,2025-03-28,Midwest,Display,Returning
CUST-00511,2025-12-30,West,Paid Search,Returning
CUST-00512,2025-09-30,West,Paid Social,Returning
CUST-00513,2025-11-03,Midwest,Paid Social,Returning
CUST-00514,2025-10-26,South,Paid Search,New
CUST-00515,2025-12-17,Midwest,Email,VIP
CUST-00516,2025-02-08,Midwest,Paid Search,Returning
CUST-00517,2025-11-18,Northeast,Affiliate,New
CUST-00518,2025-01-25,West,Paid Search,New
CUST-00519,2025-06-23,West,Paid Search,New
CUST-00520,2025-08-05,West,Organic/Direct,Returning
CUST-00521,2025-05-11,West,Affiliate,New
CUST-00522,2025-02-23,West,Organic/Direct,VIP
CUST-00523,2025-03-12,Northeast,Email,VIP
CUST-00524,2025-10-29,West,Paid Search,Returning
CUST-00525,2025-04-27,South,Affiliate,New
CUST-00526,2025-04-24,Midwest,Email,Returning
CUST-00527,2025-12-04,South,Paid Search,New
CUST-00528,2025-02-22,Midwest,Organic/Direct,Returning
CUST-00529,2025-12-01,Midwest,Affiliate,New
CUST-00530,2025-12-03,Northeast,Display,VIP
CUST-00531,2025-08-07,Northeast,Email,New
CUST-00532,2025-03-02,Midwest,Affiliate,New
CUST-00533,2025-02-26,West,Paid Social,VIP
